job_title,num_postings,top_skills,top_skills_with_freq,skills_json
Human Resources Generalist,32,"employee relations, human resources, performance management, recruitment, problemsolving, conflict resolution, communication, hris, communication skills, organizational skills","employee relations (2.75%), human resources (2.46%), performance management (2.32%), recruitment (2.17%), problemsolving (1.45%), conflict resolution (1.45%), communication (1.30%), hris (1.30%), communication skills (1.16%), organizational skills (1.16%)","[('employee relations', 0.02753623188405797), ('human resources', 0.02463768115942029), ('performance management', 0.02318840579710145), ('recruitment', 0.021739130434782608), ('problemsolving', 0.014492753623188406), ('conflict resolution', 0.014492753623188406), ('communication', 0.013043478260869565), ('hris', 0.013043478260869565), ('communication skills', 0.011594202898550725), ('organizational skills', 0.011594202898550725)]"
Host/Hostess,32,"customer service, communication, teamwork, organization, physical stamina, time management, planning, attention to detail, hospitality, communication skills","customer service (6.95%), communication (5.88%), teamwork (5.08%), organization (4.81%), physical stamina (4.55%), time management (4.28%), planning (3.74%), attention to detail (2.94%), hospitality (2.94%), communication skills (2.67%)","[('customer service', 0.06951871657754011), ('communication', 0.058823529411764705), ('teamwork', 0.05080213903743316), ('organization', 0.0481283422459893), ('physical stamina', 0.045454545454545456), ('time management', 0.0427807486631016), ('planning', 0.0374331550802139), ('attention to detail', 0.029411764705882353), ('hospitality', 0.029411764705882353), ('communication skills', 0.026737967914438502)]"
Facteur - Agent de livraison,31,"customer service, driving, class 5 or g driver's license, ability to work in all weather conditions, delivery, communication, customer service experience, lifting, english, physical fitness","customer service (4.64%), driving (3.94%), class 5 or g driver's license (3.25%), ability to work in all weather conditions (3.02%), delivery (3.02%), communication (2.78%), customer service experience (2.55%), lifting (2.55%), english (2.32%), physical fitness (2.09%)","[('customer service', 0.04640371229698376), ('driving', 0.03944315545243619), (""class 5 or g driver's license"", 0.03248259860788863), ('ability to work in all weather conditions', 0.030162412993039442), ('delivery', 0.030162412993039442), ('communication', 0.027842227378190254), ('customer service experience', 0.025522041763341066), ('lifting', 0.025522041763341066), ('english', 0.02320185614849188), ('physical fitness', 0.02088167053364269)]"
(CAN) Staff Pharmacist -FR,31,"customer service, pharmacist license, medication administration, inventory management, pharmacy, patient care, pharmacy management, prescription processing, additional prescribing authorization, teamwork","customer service (7.59%), pharmacist license (5.06%), medication administration (4.30%), inventory management (3.29%), pharmacy (2.78%), patient care (2.78%), pharmacy management (2.53%), prescription processing (2.53%), additional prescribing authorization (2.03%), teamwork (2.03%)","[('customer service', 0.0759493670886076), ('pharmacist license', 0.05063291139240506), ('medication administration', 0.043037974683544304), ('inventory management', 0.03291139240506329), ('pharmacy', 0.027848101265822784), ('patient care', 0.027848101265822784), ('pharmacy management', 0.02531645569620253), ('prescription processing', 0.02531645569620253), ('additional prescribing authorization', 0.020253164556962026), ('teamwork', 0.020253164556962026)]"
(CAN) Staff Pharmacist,31,"pharmacist license, medication reviews, injections, pharmacy operations, patient care, sops, patient privacy, patient consultation, business action plan, corporate business goals","pharmacist license (5.97%), medication reviews (5.31%), injections (5.31%), pharmacy operations (5.09%), patient care (4.87%), sops (3.76%), patient privacy (3.32%), patient consultation (3.10%), business action plan (2.65%), corporate business goals (2.65%)","[('pharmacist license', 0.059734513274336286), ('medication reviews', 0.05309734513274336), ('injections', 0.05309734513274336), ('pharmacy operations', 0.05088495575221239), ('patient care', 0.048672566371681415), ('sops', 0.03761061946902655), ('patient privacy', 0.033185840707964605), ('patient consultation', 0.030973451327433628), ('business action plan', 0.02654867256637168), ('corporate business goals', 0.02654867256637168)]"
Senior Mechanical Engineer,31,"mechanical engineering, project management, autocad, camel, time management, senior mechanical engineer, navisworks, communication, problem solving, mining","mechanical engineering (3.92%), project management (1.41%), autocad (0.94%), camel (0.94%), time management (0.94%), senior mechanical engineer (0.78%), navisworks (0.78%), communication (0.78%), problem solving (0.78%), mining (0.63%)","[('mechanical engineering', 0.03924646781789639), ('project management', 0.0141287284144427), ('autocad', 0.009419152276295133), ('camel', 0.009419152276295133), ('time management', 0.009419152276295133), ('senior mechanical engineer', 0.007849293563579277), ('navisworks', 0.007849293563579277), ('communication', 0.007849293563579277), ('problem solving', 0.007849293563579277), ('mining', 0.006279434850863423)]"
Orthodontist,31,"orthodontics, insurance, clinical autonomy, visa advice, relocation assistance, currency and banking, zoom, cv, financial advisory, financial and tax advisory services","orthodontics (7.18%), insurance (7.18%), clinical autonomy (6.65%), visa advice (5.85%), relocation assistance (4.52%), currency and banking (4.26%), zoom (3.99%), cv (3.19%), financial advisory (2.93%), financial and tax advisory services (2.93%)","[('orthodontics', 0.07180851063829788), ('insurance', 0.07180851063829788), ('clinical autonomy', 0.06648936170212766), ('visa advice', 0.05851063829787234), ('relocation assistance', 0.04521276595744681), ('currency and banking', 0.0425531914893617), ('zoom', 0.0398936170212766), ('cv', 0.031914893617021274), ('financial advisory', 0.02925531914893617), ('financial and tax advisory services', 0.02925531914893617)]"
Employment Consultant,31,"customer service, employment services, communication, driver's license, case management, working with children check, training, teamwork, criminal history check, job placement","customer service (3.75%), employment services (2.40%), communication (2.10%), driver's license (2.10%), case management (1.65%), working with children check (1.65%), training (1.65%), teamwork (1.35%), criminal history check (1.35%), job placement (1.35%)","[('customer service', 0.03753753753753754), ('employment services', 0.024024024024024024), ('communication', 0.021021021021021023), (""driver's license"", 0.021021021021021023), ('case management', 0.016516516516516516), ('working with children check', 0.016516516516516516), ('training', 0.016516516516516516), ('teamwork', 0.013513513513513514), ('criminal history check', 0.013513513513513514), ('job placement', 0.013513513513513514)]"
Customer Service Manager,30,"customer service, communication, leadership, attention to detail, team management, communication skills, interpersonal skills, teamwork, customer service management, time management","customer service (2.76%), communication (2.60%), leadership (1.84%), attention to detail (1.38%), team management (1.23%), communication skills (1.23%), interpersonal skills (1.23%), teamwork (1.07%), customer service management (0.92%), time management (0.92%)","[('customer service', 0.027565084226646247), ('communication', 0.026033690658499236), ('leadership', 0.018376722817764167), ('attention to detail', 0.013782542113323124), ('team management', 0.01225114854517611), ('communication skills', 0.01225114854517611), ('interpersonal skills', 0.01225114854517611), ('teamwork', 0.010719754977029096), ('customer service management', 0.009188361408882083), ('time management', 0.009188361408882083)]"
Area Manager,30,"leadership, customer service, communication, team management, management, problemsolving, sales, problem solving, compliance, coaching","leadership (2.68%), customer service (2.68%), communication (2.33%), team management (1.61%), management (1.43%), problemsolving (1.43%), sales (1.43%), problem solving (1.25%), compliance (1.07%), coaching (1.07%)","[('leadership', 0.026833631484794274), ('customer service', 0.026833631484794274), ('communication', 0.023255813953488372), ('team management', 0.016100178890876567), ('management', 0.014311270125223614), ('problemsolving', 0.014311270125223614), ('sales', 0.014311270125223614), ('problem solving', 0.012522361359570662), ('compliance', 0.01073345259391771), ('coaching', 0.01073345259391771)]"
Duty Manager,30,"customer service, communication, leadership, problemsolving, motivation, duty manager, multitasking, teamwork, communication skills, problem solving","customer service (3.40%), communication (2.77%), leadership (2.55%), problemsolving (1.49%), motivation (1.49%), duty manager (1.49%), multitasking (1.49%), teamwork (1.49%), communication skills (1.28%), problem solving (1.28%)","[('customer service', 0.03404255319148936), ('communication', 0.027659574468085105), ('leadership', 0.02553191489361702), ('problemsolving', 0.014893617021276596), ('motivation', 0.014893617021276596), ('duty manager', 0.014893617021276596), ('multitasking', 0.014893617021276596), ('teamwork', 0.014893617021276596), ('communication skills', 0.01276595744680851), ('problem solving', 0.01276595744680851)]"
Maintenance planner,30,"maintenance planning, communication skills, time management, sap, scheduling, teamwork, problem solving, communication, project management, attention to detail","maintenance planning (5.06%), communication skills (2.17%), time management (1.81%), sap (1.81%), scheduling (1.45%), teamwork (1.27%), problem solving (1.27%), communication (1.27%), project management (1.08%), attention to detail (1.08%)","[('maintenance planning', 0.05063291139240506), ('communication skills', 0.0216998191681736), ('time management', 0.018083182640144666), ('sap', 0.018083182640144666), ('scheduling', 0.014466546112115732), ('teamwork', 0.012658227848101266), ('problem solving', 0.012658227848101266), ('communication', 0.012658227848101266), ('project management', 0.0108499095840868), ('attention to detail', 0.0108499095840868)]"
Executive Chef,29,"leadership, customer service, communication, food preparation, food safety, inventory management, kitchen management, budgeting, menu planning, microsoft word","leadership (1.82%), customer service (1.82%), communication (1.66%), food preparation (1.66%), food safety (1.49%), inventory management (1.49%), kitchen management (1.32%), budgeting (1.32%), menu planning (1.16%), microsoft word (1.16%)","[('leadership', 0.018211920529801324), ('customer service', 0.018211920529801324), ('communication', 0.016556291390728478), ('food preparation', 0.016556291390728478), ('food safety', 0.014900662251655629), ('inventory management', 0.014900662251655629), ('kitchen management', 0.013245033112582781), ('budgeting', 0.013245033112582781), ('menu planning', 0.011589403973509934), ('microsoft word', 0.011589403973509934)]"
Assistant Restaurant Manager,29,"customer service, restaurant management, leadership, communication, hospitality, inventory management, attention to detail, teamwork, team leadership, communication skills","customer service (3.86%), restaurant management (3.18%), leadership (2.50%), communication (2.05%), hospitality (2.05%), inventory management (1.59%), attention to detail (1.36%), teamwork (1.36%), team leadership (1.36%), communication skills (1.14%)","[('customer service', 0.038636363636363635), ('restaurant management', 0.031818181818181815), ('leadership', 0.025), ('communication', 0.020454545454545454), ('hospitality', 0.020454545454545454), ('inventory management', 0.015909090909090907), ('attention to detail', 0.013636363636363636), ('teamwork', 0.013636363636363636), ('team leadership', 0.013636363636363636), ('communication skills', 0.011363636363636364)]"
Butcher,29,"customer service, meat cutting, hygiene, butchery, health standards, butchering, food knowledge, meat processing, food safety, butcher","customer service (8.20%), meat cutting (6.15%), hygiene (4.51%), butchery (4.10%), health standards (3.69%), butchering (3.28%), food knowledge (2.87%), meat processing (2.05%), food safety (2.05%), butcher (1.64%)","[('customer service', 0.08196721311475409), ('meat cutting', 0.06147540983606557), ('hygiene', 0.045081967213114756), ('butchery', 0.040983606557377046), ('health standards', 0.036885245901639344), ('butchering', 0.03278688524590164), ('food knowledge', 0.028688524590163935), ('meat processing', 0.020491803278688523), ('food safety', 0.020491803278688523), ('butcher', 0.01639344262295082)]"
Enterprise Account Executive,29,"sales, account management, saas, communication, negotiation, customer success, presentation skills, forecasting, collaboration, salesforce","sales (1.72%), account management (1.59%), saas (1.32%), communication (1.19%), negotiation (0.93%), customer success (0.93%), presentation skills (0.93%), forecasting (0.93%), collaboration (0.93%), salesforce (0.93%)","[('sales', 0.017218543046357615), ('account management', 0.015894039735099338), ('saas', 0.013245033112582781), ('communication', 0.011920529801324504), ('negotiation', 0.009271523178807948), ('customer success', 0.009271523178807948), ('presentation skills', 0.009271523178807948), ('forecasting', 0.009271523178807948), ('collaboration', 0.009271523178807948), ('salesforce', 0.009271523178807948)]"
HR Generalist,28,"employee relations, recruitment, communication, payroll, performance management, onboarding, training, problem solving, training and development, benefits administration","employee relations (3.58%), recruitment (2.51%), communication (2.15%), payroll (1.79%), performance management (1.61%), onboarding (1.61%), training (1.43%), problem solving (1.25%), training and development (1.25%), benefits administration (1.08%)","[('employee relations', 0.035842293906810034), ('recruitment', 0.025089605734767026), ('communication', 0.021505376344086023), ('payroll', 0.017921146953405017), ('performance management', 0.016129032258064516), ('onboarding', 0.016129032258064516), ('training', 0.014336917562724014), ('problem solving', 0.012544802867383513), ('training and development', 0.012544802867383513), ('benefits administration', 0.010752688172043012)]"
Clinical Nurse,28,"patient care, teamwork, leadership, nursing, flexible working arrangements, communication, professional development, flexible leave arrangements, professional development opportunities, study leave","patient care (1.85%), teamwork (1.85%), leadership (1.71%), nursing (1.71%), flexible working arrangements (1.56%), communication (1.42%), professional development (1.14%), flexible leave arrangements (1.14%), professional development opportunities (1.14%), study leave (1.00%)","[('patient care', 0.01849217638691323), ('teamwork', 0.01849217638691323), ('leadership', 0.017069701280227598), ('nursing', 0.017069701280227598), ('flexible working arrangements', 0.015647226173541962), ('communication', 0.01422475106685633), ('professional development', 0.011379800853485065), ('flexible leave arrangements', 0.011379800853485065), ('professional development opportunities', 0.011379800853485065), ('study leave', 0.00995732574679943)]"
Controller,28,"accounting, budgeting, financial reporting, forecasting, financial statements, attention to detail, cpa designation, financial analysis, communication, leadership","accounting (2.83%), budgeting (2.42%), financial reporting (2.15%), forecasting (1.62%), financial statements (1.62%), attention to detail (1.48%), cpa designation (1.48%), financial analysis (1.48%), communication (1.35%), leadership (1.35%)","[('accounting', 0.02826379542395693), ('budgeting', 0.024226110363391656), ('financial reporting', 0.021534320323014805), ('forecasting', 0.016150740242261104), ('financial statements', 0.016150740242261104), ('attention to detail', 0.014804845222072678), ('cpa designation', 0.014804845222072678), ('financial analysis', 0.014804845222072678), ('communication', 0.013458950201884253), ('leadership', 0.013458950201884253)]"
Senior Financial Accountant,28,"financial reporting, financial accounting, financial analysis, communication skills, attention to detail, cpa, accounting standards, internal controls, budgeting, variance analysis","financial reporting (2.37%), financial accounting (2.21%), financial analysis (1.26%), communication skills (1.26%), attention to detail (1.26%), cpa (1.10%), accounting standards (1.10%), internal controls (0.95%), budgeting (0.95%), variance analysis (0.95%)","[('financial reporting', 0.02365930599369085), ('financial accounting', 0.022082018927444796), ('financial analysis', 0.012618296529968454), ('communication skills', 0.012618296529968454), ('attention to detail', 0.012618296529968454), ('cpa', 0.011041009463722398), ('accounting standards', 0.011041009463722398), ('internal controls', 0.00946372239747634), ('budgeting', 0.00946372239747634), ('variance analysis', 0.00946372239747634)]"
Warehouse Supervisor,28,"forklift operation, warehouse management, forklift license, leadership, inventory management, logistics, communication, customer service, problemsolving, attention to detail","forklift operation (2.53%), warehouse management (2.30%), forklift license (2.30%), leadership (2.07%), inventory management (2.07%), logistics (1.84%), communication (1.84%), customer service (1.61%), problemsolving (1.61%), attention to detail (1.38%)","[('forklift operation', 0.02534562211981567), ('warehouse management', 0.02304147465437788), ('forklift license', 0.02304147465437788), ('leadership', 0.020737327188940093), ('inventory management', 0.020737327188940093), ('logistics', 0.018433179723502304), ('communication', 0.018433179723502304), ('customer service', 0.016129032258064516), ('problemsolving', 0.016129032258064516), ('attention to detail', 0.013824884792626729)]"
Human Resources Advisor,28,"human resources, communication, communication skills, interpersonal skills, performance management, organizational skills, time management, attention to detail, employee relations, multitasking","human resources (1.52%), communication (1.38%), communication skills (1.38%), interpersonal skills (1.24%), performance management (0.97%), organizational skills (0.97%), time management (0.83%), attention to detail (0.83%), employee relations (0.83%), multitasking (0.83%)","[('human resources', 0.015193370165745856), ('communication', 0.013812154696132596), ('communication skills', 0.013812154696132596), ('interpersonal skills', 0.012430939226519336), ('performance management', 0.009668508287292817), ('organizational skills', 0.009668508287292817), ('time management', 0.008287292817679558), ('attention to detail', 0.008287292817679558), ('employee relations', 0.008287292817679558), ('multitasking', 0.008287292817679558)]"
Business Systems Analyst,28,"project management, communication skills, communication, business analysis, requirements gathering, business systems analyst, documentation, sql, collaboration, analytical skills","project management (2.51%), communication skills (1.61%), communication (1.25%), business analysis (1.08%), requirements gathering (1.08%), business systems analyst (1.08%), documentation (1.08%), sql (1.08%), collaboration (0.90%), analytical skills (0.90%)","[('project management', 0.025089605734767026), ('communication skills', 0.016129032258064516), ('communication', 0.012544802867383513), ('business analysis', 0.010752688172043012), ('requirements gathering', 0.010752688172043012), ('business systems analyst', 0.010752688172043012), ('documentation', 0.010752688172043012), ('sql', 0.010752688172043012), ('collaboration', 0.008960573476702509), ('analytical skills', 0.008960573476702509)]"
Customer Service Representative/Data Analyst/Data Entry Clerk Full Time,27,"data visualization, r, python, a, b testing, sql, tableau, power bi, hypothesis testing, data analysis","data visualization (4.76%), r (4.76%), python (4.76%), a (4.76%), b testing (4.76%), sql (4.59%), tableau (4.59%), power bi (4.59%), hypothesis testing (4.59%), data analysis (4.41%)","[('data visualization', 0.047619047619047616), ('r', 0.047619047619047616), ('python', 0.047619047619047616), ('a', 0.047619047619047616), ('b testing', 0.047619047619047616), ('sql', 0.04585537918871252), ('tableau', 0.04585537918871252), ('power bi', 0.04585537918871252), ('hypothesis testing', 0.04585537918871252), ('data analysis', 0.04409171075837742)]"
Financial Insurance Advisor,27,"customer service, digital wealth management, sales, insurance, investments, mortgages, business development, multitasking, llqp, interpersonal skills","customer service (5.27%), digital wealth management (5.27%), sales (4.84%), insurance (4.84%), investments (4.84%), mortgages (4.84%), business development (4.18%), multitasking (3.96%), llqp (3.74%), interpersonal skills (3.30%)","[('customer service', 0.05274725274725275), ('digital wealth management', 0.05274725274725275), ('sales', 0.04835164835164835), ('insurance', 0.04835164835164835), ('investments', 0.04835164835164835), ('mortgages', 0.04835164835164835), ('business development', 0.041758241758241756), ('multitasking', 0.03956043956043956), ('llqp', 0.03736263736263736), ('interpersonal skills', 0.03296703296703297)]"
Chaplain,27,"pastoral care, leadership, chaplain counselling skills, military administration, chaplain in deployed operations, public speaking, intermediate ethics, counselling, faith tradition formation, communication","pastoral care (2.88%), leadership (2.54%), chaplain counselling skills (2.54%), military administration (2.37%), chaplain in deployed operations (2.37%), public speaking (2.20%), intermediate ethics (1.86%), counselling (1.69%), faith tradition formation (1.53%), communication (1.36%)","[('pastoral care', 0.0288135593220339), ('leadership', 0.025423728813559324), ('chaplain counselling skills', 0.025423728813559324), ('military administration', 0.023728813559322035), ('chaplain in deployed operations', 0.023728813559322035), ('public speaking', 0.022033898305084745), ('intermediate ethics', 0.01864406779661017), ('counselling', 0.01694915254237288), ('faith tradition formation', 0.015254237288135594), ('communication', 0.013559322033898305)]"
Operations Team Member,27,"merchandising, product knowledge, inventory management, customer service, data integrity, marketing, cash handling, sales channel fulfillment, presentation, online platforms","merchandising (5.69%), product knowledge (5.69%), inventory management (5.47%), customer service (5.03%), data integrity (4.81%), marketing (4.81%), cash handling (4.16%), sales channel fulfillment (3.50%), presentation (3.50%), online platforms (3.28%)","[('merchandising', 0.05689277899343545), ('product knowledge', 0.05689277899343545), ('inventory management', 0.05470459518599562), ('customer service', 0.05032822757111598), ('data integrity', 0.04814004376367615), ('marketing', 0.04814004376367615), ('cash handling', 0.04157549234135667), ('sales channel fulfillment', 0.0350109409190372), ('presentation', 0.0350109409190372), ('online platforms', 0.03282275711159737)]"
Entraîneur personnel,27,"kinesiology, communication skills, entrepreneurship, sports therapy, physical fitness, physical education, professionalism, sports intervention, dynamism, bilingualism","kinesiology (6.59%), communication skills (6.59%), entrepreneurship (6.29%), sports therapy (5.99%), physical fitness (5.39%), physical education (4.19%), professionalism (4.19%), sports intervention (4.19%), dynamism (3.59%), bilingualism (3.29%)","[('kinesiology', 0.0658682634730539), ('communication skills', 0.0658682634730539), ('entrepreneurship', 0.06287425149700598), ('sports therapy', 0.059880239520958084), ('physical fitness', 0.05389221556886228), ('physical education', 0.041916167664670656), ('professionalism', 0.041916167664670656), ('sports intervention', 0.041916167664670656), ('dynamism', 0.03592814371257485), ('bilingualism', 0.03293413173652695)]"
Service Advisor,27,"customer service, service advisor, communication skills, time management, attention to detail, communication, organizational skills, teamwork, problemsolving, interpersonal skills","customer service (4.96%), service advisor (3.86%), communication skills (3.58%), time management (2.20%), attention to detail (2.20%), communication (1.65%), organizational skills (1.65%), teamwork (1.65%), problemsolving (1.65%), interpersonal skills (1.38%)","[('customer service', 0.049586776859504134), ('service advisor', 0.03856749311294766), ('communication skills', 0.03581267217630854), ('time management', 0.02203856749311295), ('attention to detail', 0.02203856749311295), ('communication', 0.01652892561983471), ('organizational skills', 0.01652892561983471), ('teamwork', 0.01652892561983471), ('problemsolving', 0.01652892561983471), ('interpersonal skills', 0.013774104683195593)]"
CSR- Subway Sandwich Artist,27,"customer service, communication, teamwork, food service experience, point of sale system, food service, cash register, standing, walking, willingness to learn","customer service (9.25%), communication (9.25%), teamwork (8.56%), food service experience (4.11%), point of sale system (2.74%), food service (2.74%), cash register (2.74%), standing (2.74%), walking (2.74%), willingness to learn (2.40%)","[('customer service', 0.09246575342465753), ('communication', 0.09246575342465753), ('teamwork', 0.08561643835616438), ('food service experience', 0.0410958904109589), ('point of sale system', 0.0273972602739726), ('food service', 0.0273972602739726), ('cash register', 0.0273972602739726), ('standing', 0.0273972602739726), ('walking', 0.0273972602739726), ('willingness to learn', 0.023972602739726026)]"
Contract Administrator,26,"contract administration, project management, construction management, attention to detail, contract management, communication, contract negotiation, microsoft office suite, construction, communication skills","contract administration (3.05%), project management (2.67%), construction management (1.71%), attention to detail (1.71%), contract management (1.71%), communication (1.52%), contract negotiation (1.33%), microsoft office suite (1.33%), construction (1.14%), communication skills (1.14%)","[('contract administration', 0.030476190476190476), ('project management', 0.02666666666666667), ('construction management', 0.017142857142857144), ('attention to detail', 0.017142857142857144), ('contract management', 0.017142857142857144), ('communication', 0.015238095238095238), ('contract negotiation', 0.013333333333333334), ('microsoft office suite', 0.013333333333333334), ('construction', 0.011428571428571429), ('communication skills', 0.011428571428571429)]"
Production Supervisor,26,"communication, production supervision, leadership, quality control, problem solving, manufacturing, communication skills, problemsolving, decision making, team management","communication (2.57%), production supervision (2.57%), leadership (2.38%), quality control (1.78%), problem solving (1.58%), manufacturing (1.58%), communication skills (1.39%), problemsolving (1.19%), decision making (0.99%), team management (0.99%)","[('communication', 0.02574257425742574), ('production supervision', 0.02574257425742574), ('leadership', 0.023762376237623763), ('quality control', 0.01782178217821782), ('problem solving', 0.015841584158415842), ('manufacturing', 0.015841584158415842), ('communication skills', 0.013861386138613862), ('problemsolving', 0.011881188118811881), ('decision making', 0.009900990099009901), ('team management', 0.009900990099009901)]"
Exercise Physiologist,26,"exercise physiology, essa registration, teamwork, working with children check, communication skills, rehabilitation, communication, collaboration, first aid, cpr","exercise physiology (4.29%), essa registration (1.56%), teamwork (1.36%), working with children check (1.17%), communication skills (0.97%), rehabilitation (0.78%), communication (0.78%), collaboration (0.78%), first aid (0.78%), cpr (0.78%)","[('exercise physiology', 0.042884990253411304), ('essa registration', 0.015594541910331383), ('teamwork', 0.01364522417153996), ('working with children check', 0.011695906432748537), ('communication skills', 0.009746588693957114), ('rehabilitation', 0.007797270955165692), ('communication', 0.007797270955165692), ('collaboration', 0.007797270955165692), ('first aid', 0.007797270955165692), ('cpr', 0.007797270955165692)]"
Electrician,26,"troubleshooting, electrician, teamwork, communication, preventative maintenance, electrical systems, electrical wiring, problemsolving, electrical equipment, electrical maintenance","troubleshooting (2.35%), electrician (1.51%), teamwork (1.34%), communication (1.34%), preventative maintenance (1.01%), electrical systems (1.01%), electrical wiring (0.84%), problemsolving (0.84%), electrical equipment (0.84%), electrical maintenance (0.67%)","[('troubleshooting', 0.02348993288590604), ('electrician', 0.015100671140939598), ('teamwork', 0.013422818791946308), ('communication', 0.013422818791946308), ('preventative maintenance', 0.010067114093959731), ('electrical systems', 0.010067114093959731), ('electrical wiring', 0.008389261744966443), ('problemsolving', 0.008389261744966443), ('electrical equipment', 0.008389261744966443), ('electrical maintenance', 0.006711409395973154)]"
Assistant Store Manager,25,"customer service, leadership, communication, retail management, sales, merchandising, inventory management, loss prevention, training, team management","customer service (4.34%), leadership (4.11%), communication (3.20%), retail management (2.74%), sales (2.74%), merchandising (2.51%), inventory management (2.28%), loss prevention (2.28%), training (2.05%), team management (1.60%)","[('customer service', 0.04337899543378995), ('leadership', 0.0410958904109589), ('communication', 0.0319634703196347), ('retail management', 0.0273972602739726), ('sales', 0.0273972602739726), ('merchandising', 0.02511415525114155), ('inventory management', 0.0228310502283105), ('loss prevention', 0.0228310502283105), ('training', 0.02054794520547945), ('team management', 0.01598173515981735)]"
Assistant Property Manager,25,"property management, time management, customer service, lease administration, communication skills, communication, problem solving, teamwork, attention to detail, leasing","property management (4.63%), time management (3.08%), customer service (2.83%), lease administration (2.06%), communication skills (1.80%), communication (1.80%), problem solving (1.29%), teamwork (1.29%), attention to detail (1.03%), leasing (1.03%)","[('property management', 0.04627249357326478), ('time management', 0.030848329048843187), ('customer service', 0.028277634961439587), ('lease administration', 0.02056555269922879), ('communication skills', 0.017994858611825194), ('communication', 0.017994858611825194), ('problem solving', 0.012853470437017995), ('teamwork', 0.012853470437017995), ('attention to detail', 0.010282776349614395), ('leasing', 0.010282776349614395)]"
"Education, Faculty of",25,"university level teaching experience, graduate degree in education, education, literature review, research proposal, experimental, descriptive, correlational, historical, phenomenological","university level teaching experience (6.27%), graduate degree in education (5.88%), education (3.14%), literature review (1.96%), research proposal (1.57%), experimental (1.18%), descriptive (1.18%), correlational (1.18%), historical (1.18%), phenomenological (1.18%)","[('university level teaching experience', 0.06274509803921569), ('graduate degree in education', 0.058823529411764705), ('education', 0.03137254901960784), ('literature review', 0.0196078431372549), ('research proposal', 0.01568627450980392), ('experimental', 0.011764705882352941), ('descriptive', 0.011764705882352941), ('correlational', 0.011764705882352941), ('historical', 0.011764705882352941), ('phenomenological', 0.011764705882352941)]"
Construction Manager,25,"project management, construction management, communication, communication skills, civil engineering, leadership, time management, engineering, scheduling, teamwork","project management (4.55%), construction management (4.36%), communication (1.78%), communication skills (1.78%), civil engineering (1.58%), leadership (1.39%), time management (1.19%), engineering (1.19%), scheduling (1.19%), teamwork (1.19%)","[('project management', 0.04554455445544554), ('construction management', 0.04356435643564356), ('communication', 0.01782178217821782), ('communication skills', 0.01782178217821782), ('civil engineering', 0.015841584158415842), ('leadership', 0.013861386138613862), ('time management', 0.011881188118811881), ('engineering', 0.011881188118811881), ('scheduling', 0.011881188118811881), ('teamwork', 0.011881188118811881)]"
Assistant Professor,24,"teaching, research, teaching experience, leadership, mentoring, diversity, supervision, curriculum vitae, phd, curriculum development","teaching (2.67%), research (1.26%), teaching experience (0.94%), leadership (0.78%), mentoring (0.78%), diversity (0.78%), supervision (0.78%), curriculum vitae (0.78%), phd (0.78%), curriculum development (0.63%)","[('teaching', 0.026687598116169546), ('research', 0.012558869701726845), ('teaching experience', 0.009419152276295133), ('leadership', 0.007849293563579277), ('mentoring', 0.007849293563579277), ('diversity', 0.007849293563579277), ('supervision', 0.007849293563579277), ('curriculum vitae', 0.007849293563579277), ('phd', 0.007849293563579277), ('curriculum development', 0.006279434850863423)]"
Sales Executive,24,"sales, customer service, communication, time management, attention to detail, problem solving, teamwork, account management, autonomy, crm","sales (4.45%), customer service (3.14%), communication (2.88%), time management (2.09%), attention to detail (1.83%), problem solving (1.83%), teamwork (1.57%), account management (1.31%), autonomy (1.31%), crm (1.31%)","[('sales', 0.04450261780104712), ('customer service', 0.031413612565445025), ('communication', 0.028795811518324606), ('time management', 0.020942408376963352), ('attention to detail', 0.01832460732984293), ('problem solving', 0.01832460732984293), ('teamwork', 0.015706806282722512), ('account management', 0.013089005235602094), ('autonomy', 0.013089005235602094), ('crm', 0.013089005235602094)]"
HSE Advisor,24,"incident investigation, hse, risk assessment, risk management, safety training, incident investigations, hse advisor, icam, communication, ohs","incident investigation (2.32%), hse (1.55%), risk assessment (1.29%), risk management (1.29%), safety training (1.03%), incident investigations (1.03%), hse advisor (1.03%), icam (1.03%), communication (0.77%), ohs (0.77%)","[('incident investigation', 0.023195876288659795), ('hse', 0.015463917525773196), ('risk assessment', 0.01288659793814433), ('risk management', 0.01288659793814433), ('safety training', 0.010309278350515464), ('incident investigations', 0.010309278350515464), ('hse advisor', 0.010309278350515464), ('icam', 0.010309278350515464), ('communication', 0.007731958762886598), ('ohs', 0.007731958762886598)]"
Senior Mining Engineer,24,"mining engineering, analytical skills, scheduling, communication, ms office, mine planning, mining software, safety, problem solving, surpac","mining engineering (3.90%), analytical skills (2.17%), scheduling (1.95%), communication (1.95%), ms office (1.95%), mine planning (1.30%), mining software (1.30%), safety (1.30%), problem solving (1.30%), surpac (1.30%)","[('mining engineering', 0.039045553145336226), ('analytical skills', 0.021691973969631236), ('scheduling', 0.019522776572668113), ('communication', 0.019522776572668113), ('ms office', 0.019522776572668113), ('mine planning', 0.013015184381778741), ('mining software', 0.013015184381778741), ('safety', 0.013015184381778741), ('problem solving', 0.013015184381778741), ('surpac', 0.013015184381778741)]"
